store,raw_product_type,product_count,canonical_category
stephanis,Hand Mixers,24,
stephanis,Beach Buckets,24,
stephanis,Various,23,
stephanis,Headphones Multimedia,23,headphones
stephanis,Lens,23,
stephanis,Book Series,23,
stephanis,Fm Transmitters,22,
stephanis,Gaming Wheels,22,
stephanis,Printers,22,
stephanis,Electric Bikes & Motocycles,22,
stephanis,Tripods & Ring Lights,22,
stephanis,Serving Bowls,22,
stephanis,Torches,22,
stephanis,Party Appliances,21,
stephanis,Graphic Tablets,21,
stephanis,Cooling Pads,21,
stephanis,Platters,21,
stephanis,Calculators,20,
stephanis,Pre-Lit Nets/Icicles,20,
stephanis,LED Party Lights,20,
stephanis,Screen Protectors,20,
stephanis,Scales,20,
stephanis,Baby Monitors,20,
stephanis,Christmas Greeting Cards,19,
stephanis,Under the Tree,19,
stephanis,Media Players,19,
stephanis,Gaming Speakers,19,speakers
stephanis,Lithium Batteries,19,
stephanis,Web Cameras,19,
stephanis,Water Dispensers,19,
stephanis,Indoor Antennas,19,
stephanis,Christmas Wrapping Paper,19,
stephanis,Freestanding Dishwashers,19,dishwashers
stephanis,Carnival Accessory Set,19,
stephanis,Various Accessories,18,
stephanis,Pre-Lit Christmas Lanterns,18,
stephanis,Door Phone systems,18,
stephanis,Swimming Pools,18,
stephanis,Range Extenders,18,
stephanis,Side by Side,18,refrigerators
stephanis,Bottles & Carafes,18,
stephanis,Carnival Headpieces,18,
stephanis,Epilator,17,
stephanis,Barbecue Grills,17,
stephanis,Barbecue Accessories,17,
stephanis,Digital Photo Frames,17,
stephanis,Power Cables,17,
stephanis,Repellers/Bug Killers,17,
stephanis,Tablet Stylus,17,
stephanis,Carnival Party,17,
stephanis,Pre-Lit/Unlit Garlands,16,
stephanis,Consumables,16,
stephanis,Turntables,16,
stephanis,Popsocket & Rings,16,
stephanis,Walkie Talkies,16,
stephanis,Usb Lan Adapters,16,
stephanis,Electric Toy Vehicles,16,
stephanis,Bows/Ribbons,16,
stephanis,UPS,16,
stephanis,Internal Disks (SSD),15,
stephanis,External Disks (SSD),15,
stephanis,Pool Floats,15,
stephanis,Mini Vacuum Cleaners,15,vacuums
stephanis,Portable Hobs,15,ovens
stephanis,Food Storage,15,
stephanis,Pre-Lit Special Deco,14,
stephanis,Led Stripes,14,
stephanis,Beach and Sand games,14,
stephanis,Video Projector Screens,14,
stephanis,Drone Accessories,14,
stephanis,Retro,14,consoles
stephanis,Tumble Dryer,14,dryers
stephanis,Trading Card Accessories,14,
stephanis,Car Speaker,13,
stephanis,Trains,13,
stephanis,Disco Lights,13,
stephanis,Selfie Sticks,13,
